名称,郵便番号,住所,URL,コメント,電話番号,FAX番号,EMAIL,写真,担当課,経度,緯度,分類
鳳鳴四十八滝,,仙台市青葉区作並字棒目木,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/037/037.html,大小様々な滝が折り重なるように連なる滝で、滝から響く美しい水音が伝説の鳥「鳳凰」の鳴き声に似ていることから名付けられたと言われています。 高台から広瀬川の上流を眺めると、鬱蒼とした樹林の間を階段状のいくつもの滝が白い泡をたてて流れ、その背後には地元の人から「ゴリラ山」として親しまれている「鎌倉山」がそびえています。  緑あふれる森の中にあり、清冽な水が流れる、仙台の隠れた名瀑布です。,,,,,経済局観光交流課,140.6606963,38.30596528,観光施設
瑞鳳殿,980-0814,仙台市青葉区霊屋下２３－２,http://www.zuihoden.com,経ケ峯伊達家墓所として、政宗公はじめ二代目忠宗、三代目綱宗の霊屋が置かれています。併設されている資料館で政宗公の遺骨や副葬品の見学ができます。,022-262-6250,022-262-6251,,,経済局観光交流課,140.8666871,38.25049524,観光施設
広瀬川,,仙台市青葉区、若林区、太白区,http://www.hirosegawa-net.com/index.html,広瀬川は、山形県境付近の上流端より名取川との合流点を経て仙台湾に至るまで、全流路・流域が仙台市の行政区域内に完結する一級河川です。百万都市を貫流しながら、市街地の中で眼にすることができる瀬や淵、自然崖等は、多様で豊かな植物や動物の生息を可能とし、大きく蛇行する形状ともあいまって、変化に富む景観が展望できる、他の大都市には見られない特徴を持っております。杜の都・仙台のシンボルとして、古くは伊達政宗が仙台開府の夢を「河水千年」と詠んでから現在に至るまで、永く市民に親しまれています。,,,,,経済局観光交流課,140.8609243,38.25647761,観光施設
泉ケ岳,,仙台市泉区福岡,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/099/099.html,仙台の北西部にそびえる山で船形連峰の一支脈をなす。市内から一番近い山で、春夏は登山、秋は紅葉、冬はスキーなど四季を通じて市民に親しまれています。,022-372-3111泉区役所まちづくり推進課,,,,経済局観光交流課,140.7088091,38.41228457,観光施設
県立自然公園船形連峰　　,,　,http://www.pref.miyagi.jp/soshiki/sizenhogo/funagata.html,"宮城・山形にまたがる船形連峰は、主峰船形山（1,500m・別名御所山）を中心に多くの峰々と広い山域を持ち、地形、植生等の変化に富んでいて、両県の県立自然公園に指定されています。",各登山口がある市町村役場,,,,経済局観光交流課,140.631566,38.4503244,観光施設
秋保大滝,,仙台市太白区秋保町馬場,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/077/077.html,秋保大滝は、「日本の滝百選」に選ばれ、国の名勝に指定されています。轟音をたてて流れ落ちる様は豪快な迫力で、「日本三名瀑」のひとつに数えられています。,,,,,,140.603636,38.27519464,観光施設
姉滝,,仙台市太白区秋保町馬場,http://www.pref.miyagi.jp/bunkazai/siteibunkazai/miyagi-no-bunkazai/11TENNEN/kuni/26taki.htm,高さ16メートルの瀑布で、遠くから見ると、水流が途中で妨げられているため、前後左右に二条に分かれ、「綾なす布」といった美しさを誇っていました。甌穴と滝とが結合した珍しいもので、昭和9年に国の天然記念物に指定されましたが、昭和20年に崩壊したため、往時の面影はありません。近くに「妹滝」があり、「姉妹滝」と総称されています。,,,,,経済局観光交流課,140.536342,38.27198051,観光施設
仙台市秋保ビジターセンター,982-0244,仙台市太白区秋保町馬場字本小屋16-1,http://akiusato.jp/visitor/visitor_html/visitortop.html,蔵王国定公園・県立自然公園二口峡谷の動物や植物などの豊かな自然、山と谷のおりなす美しい景観との出会いの場所への玄関口です。  また、季節ごとに自然観察会・バードウォッチング・山から取って来たものを使った工作教室・クロスカントリースキー教室などのイベントも開催しております。,022-399-2324秋保ビジターセンター,022-399-2324秋保ビジターセンター,,,経済局観光交流課,140.5508811,38.27270148,観光施設
大東岳,,仙台市太白区,http://www.sentabi.jp/guidebook/attractions/view/62,標高1365メートルの山頂には火山湖を有する平坦地が広がり、シャクナゲなどの高山植物が美しく咲きます。秋には紅葉も見事です。,,,,,経済局観光交流課,140.5237767,38.30241919,観光施設
太白山自然観察の森　　（自然観察センター),982-0251,仙台市太白区茂庭字生出森東36-63,http://www.sendai-park.or.jp/web/info/taihakusan/index.html,身近な自然の中で市民が積極的に生き物たちとふれあう場として、平成３年に設置。レンジャー（自然解説員）が常駐し、ガイドウォーク（毎日曜）や自然観察会などを開催しています。また、生き物や自然観察に関する質問や相談などにもお答えしています。  野外教育施設：「カタクリの広場」、「蝶の野原」、「ヤマツツジの丘」、「探検の谷」、「ヨシの湿地」、「クワガタの森」、「トンボの沢」、「小鳥の森」、「カモの池」などがあります。,022-244-6115,022-244-6133,,,経済局観光交流課,140.8144424,38.23909688,観光施設
磐司岩,,仙台市太白区秋保町馬場,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/079/079.html,名取川最上流部に切り立つ大岩壁。表磐司とよばれる二口沢北岸では、高さ150mの垂直な岩壁が3km以上連なっています。岩壁植物群落がよく発達し、イワキンバイ、シコタンソウ、イワヒバなど県内では珍しい植物が生育しています。磐司の由来は、山姫と猿王の間に生まれ、マタギの祖と言われる磐司磐三郎という容貌魁偉な狩人兄弟がこの山に住み、山野を駆け抜けて猟をしていたと言う伝説によります。,,,,,経済局観光交流課,140.5121308,38.27547365,観光施設
二口渓谷,,仙台市太白区秋保町馬場,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/079/079.html,約8kmにわたって続く二口渓谷は、心地よいせせらぎを聞きながら森林浴を楽しめます。,022-399-2324秋保ビジターセンター　,022-399-2324秋保ビジターセンター　,,,経済局観光交流課,140.5405861,38.27230368,観光施設
磊々峡,,仙台市太白区秋保町湯元,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/074/074.html,奇岩が重なってる様から、その名前がつけられたとされる名勝。往復約30分の遊歩道にはあずまややベンチも設置され、散策しながら四季折々の風景を楽しむことができます。,,,,,経済局観光交流課,140.729337,38.22394692,観光施設
秋保・里センター,982-0241,仙台市太白区秋保町湯元字寺田原４０－７,http://akiusato.jp/index.aspx,観光案内所をはじめ、秋保電鉄のジオラマや工芸作品などの展示コーナーのほか、毎週日曜には七宝焼きなどの体験手作り教室も開講しています。また無料のレンタサイクルも利用できます（4月から11月）。,022-304-9151,022-304-9152,,,経済局観光交流課,140.7270018,38.22518835,観光施設
作並湯の駅Lasanta（ラサンタ）,989-3431,仙台市青葉区作並字元木2-7,http://www.sentabi.jp/guidebook/attractions/view/44,作並温泉にある観光交流施設。「ラサンタ」とは、ウイスキー発祥の地・スコットランドの言葉で「温かさ、温（ぬく）もり」を意味します。施設には、展示室・集会室等が整備されており、展示室では、仙台市出身の画家・小野寺純一氏の作品展示などを行っています。,022-395-4126,022-395-4127,,,経済局観光交流課,140.615952,38.33073216,観光施設
定義如来西方寺,989-3213,仙台市青葉区大倉字上下1,http://www.johgi.or.jp/,一生一代の大願を叶えてくださる如来様として古くから信仰されている平家落人の里です。縁結び・子宝・安産を祈祷される参拝者も多く訪れています。貞能堂、新本堂、五重搭等がある天皇塚(連理の欅)は、縁結びの神木で、玉手箱(展示室)、やすらぎ(茶室300円)なども併設されています。門前町では、定義名物の三角あぶらあげや秘伝の味噌を塗ったやきめしを食べることができます。,022-393-2011,022-393-2013,,,経済局観光交流課,140.6678578,38.36522052,観光施設
定義交流センター,989-3213,仙台市青葉区大倉字久保1番地の10,,仙台方面から定義橋を渡ってすぐ右手の建物。  バス待合所、公衆トイレ、消防車両などが入った複合施設で、集会所は、発表会、研修会等に利用可能（有料）で、地域から親しまれています。  バス待合室では、常時、定義・大倉の写真展を行っており、写真は公募し寄せられた中から選考し入賞された作品を４ヶ月に一度入れ替えして、展示しています。,,,,,経済局観光交流課,140.6715737,38.36253119,観光施設
材木岩,,仙台市青葉区大倉,,定義如来西方寺本堂から北西の十里平方面へ徒歩5分のところに、材木岩があります。<br>『その昔、立てかけていた材木が一夜にして岩になってしまった』という伝説が残されており、一本一本美しく直立して立ち並んだその姿は見る者を圧倒します。,,,,,経済局観光交流課,140.6634354,38.36884586,観光施設
仙台城跡,980-0845,仙台市青葉区荒巻字青葉無番地ほか,http://www.sendaijyo.com/,伊達政宗公が築いた仙台藩62万石の居城跡。政宗公騎馬像が立つ本丸跡からは、仙台市街が望め、晴れた日には遠く太平洋までの大パノラマが開けます。,022-214-8259,,,,経済局観光交流課,140.8561798,38.25365471,観光施設
